Candidate's index,Election Committee,Number on the Committee List,Surname,Name,Number of votes,
1,Red,1,Chang,Maliha,63878,
2,Red,2,Moses,Mason,40092,
10,Red,10,Cuevas,Rebecca,29829,
7,Red,7,Bennett,Jaden,16138,
4,Red,4,Gill,Georgina,14101,
28,Red,28,Escobar,Lucas,12222,
5,Red,5,Huber,Mahnoor,12141,
6,Red,6,Underwood,Krishan,11060,
30,Orange,2,Spencer,Harun,37273,
29,Orange,1,Sharpe,Riley,17185,
33,Orange,5,Cervantes,Liberty,14083,
57,Yellow,1,Wong,Caitlin,13439,
85,Green,1,Brown,Armaan,13455,
113,Blue,1,Fulton,Edgar,22639,
